date,path_1,path_1_count,path_1_uniques,path_2,path_2_count,path_2_uniques,path_3,path_3_count,path_3_uniques,path_4,path_4_count,path_4_uniques,path_5,path_5_count,path_5_uniques,path_6,path_6_count,path_6_uniques,path_7,path_7_count,path_7_uniques,path_8,path_8_count,path_8_uniques,path_9,path_9_count,path_9_uniques,path_10,path_10_count,path_10_uniques
2024-07-26,/piebro/simple-website-change-detection/tree/main/.github/workflows,2,1,/piebro/simple-website-change-detection,1,1,/piebro/simple-website-change-detection/issues,1,1,/piebro/simple-website-change-detection/pulls,1,1,,,,,,,,,,,,,,,,,,
2024-07-27,/piebro/simple-website-change-detection/tree/main/.github/workflows,2,1,/piebro/simple-website-change-detection,1,1,/piebro/simple-website-change-detection/issues,1,1,/piebro/simple-website-change-detection/pulls,1,1,,,,,,,,,,,,,,,,,,
2024-07-28,/piebro/simple-website-change-detection,2,2,/piebro/simple-website-change-detection/tree/main/.github/workflows,2,1,/piebro/simple-website-change-detection/issues,1,1,/piebro/simple-website-change-detection/pulls,1,1,,,,,,,,,,,,,,,,,,
2024-07-29,/piebro/simple-website-change-detection,2,2,/piebro/simple-website-change-detection/tree/main/.github/workflows,2,1,/piebro/simple-website-change-detection/issues,1,1,/piebro/simple-website-change-detection/pulls,1,1,,,,,,,,,,,,,,,,,,
2024-07-30,/piebro/simple-website-change-detection,3,3,/piebro/simple-website-change-detection/tree/main/.github/workflows,2,1,/piebro/simple-website-change-detection/issues,1,1,/piebro/simple-website-change-detection/pulls,1,1,,,,,,,,,,,,,,,,,,
2024-07-31,/piebro/simple-website-change-detection,3,3,/piebro/simple-website-change-detection/tree/main/.github/workflows,2,1,/piebro/simple-website-change-detection/issues,1,1,/piebro/simple-website-change-detection/pulls,1,1,,,,,,,,,,,,,,,,,,
2024-08-01,/piebro/simple-website-change-detection,3,3,/piebro/simple-website-change-detection/tree/main/.github/workflows,2,1,/piebro/simple-website-change-detection/issues,1,1,/piebro/simple-website-change-detection/pulls,1,1,,,,,,,,,,,,,,,,,,
2024-08-02,/piebro/simple-website-change-detection,3,3,/piebro/simple-website-change-detection/tree/main/.github/workflows,2,1,/piebro/simple-website-change-detection/issues,1,1,/piebro/simple-website-change-detection/pulls,1,1,,,,,,,,,,,,,,,,,,
2024-08-03,/piebro/simple-website-change-detection,4,4,/piebro/simple-website-change-detection/tree/main/.github/workflows,2,1,/piebro/simple-website-change-detection/issues,1,1,/piebro/simple-website-change-detection/pulls,1,1,,,,,,,,,,,,,,,,,,
2024-08-04,/piebro/simple-website-change-detection,4,4,/piebro/simple-website-change-detection/tree/main/.github/workflows,2,1,/piebro/simple-website-change-detection/issues,1,1,/piebro/simple-website-change-detection/pulls,1,1,,,,,,,,,,,,,,,,,,
2024-08-05,/piebro/simple-website-change-detection,4,4,/piebro/simple-website-change-detection/tree/main/.github/workflows,2,1,/piebro/simple-website-change-detection/issues,1,1,/piebro/simple-website-change-detection/pulls,1,1,,,,,,,,,,,,,,,,,,
2024-08-06,/piebro/simple-website-change-detection,4,4,/piebro/simple-website-change-detection/tree/main/.github/workflows,2,1,/piebro/simple-website-change-detection/issues,1,1,/piebro/simple-website-change-detection/pulls,1,1,,,,,,,,,,,,,,,,,,
2024-08-07,/piebro/simple-website-change-detection,4,4,/piebro/simple-website-change-detection/tree/main/.github/workflows,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-08,/piebro/simple-website-change-detection,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-09,/piebro/simple-website-change-detection,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-10,/piebro/simple-website-change-detection,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-11,/piebro/simple-website-change-detection,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-12,/piebro/simple-website-change-detection,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-13,/piebro/simple-website-change-detection,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-14,/piebro/simple-website-change-detection,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-15,/piebro/simple-website-change-detection,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-28,/piebro/simple-website-change-detection/blob/main/.github/workflows/check_websites_weekly.yml,2,1,/piebro/simple-website-change-detection,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-29,/piebro/simple-website-change-detection/blob/main/.github/workflows/check_websites_weekly.yml,2,1,/piebro/simple-website-change-detection,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,/piebro/simple-website-change-detection/blob/main/.github/workflows/check_websites_weekly.yml,6,2,/piebro/simple-website-change-detection,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31,/piebro/simple-website-change-detection/blob/main/.github/workflows/check_websites_weekly.yml,6,2,/piebro/simple-website-change-detection,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01,/piebro/simple-website-change-detection/blob/main/.github/workflows/check_websites_weekly.yml,6,2,/piebro/simple-website-change-detection,2,2,,,,,,,,,,,,,,,,,,,,,,,,
