date,count,uniques
2024-10-11,2,2
2024-10-15,1,1
2024-10-23,1,1
2024-10-29,1,1
2024-11-28,1,1
2024-12-01,1,1
2024-12-10,1,1
2025-01-06,1,1
2025-01-11,1,1
2025-01-22,1,1
2025-01-31,1,1
2025-02-01,2,2
2025-02-04,2,2
2025-03-08,1,1
2025-03-20,1,1
2025-03-28,2,2
2025-04-02,1,1
2025-04-09,1,1
2025-04-17,1,1
2025-04-23,1,1
2025-04-26,1,1
2025-04-30,4,4
2025-05-01,2,2
2025-05-02,1,1
2025-05-05,1,1
2025-05-17,1,1
2025-05-20,1,1
2025-05-28,1,1
2025-06-03,1,1
2025-06-07,1,1
2025-06-11,1,1
2025-06-17,1,1
2025-06-21,1,1
2025-06-22,1,1
2025-06-28,1,1
2025-07-08,1,1
2025-07-11,1,1
2025-07-13,1,1
2025-07-18,1,1
2025-07-20,1,1
2025-07-24,1,1
2025-07-28,1,1
2025-07-29,1,1
2025-07-31,1,1
2025-08-03,2,2
2025-08-08,1,1
2025-08-09,1,1
2025-08-10,1,1
2025-08-12,1,1
2025-08-13,2,2
2025-08-22,2,2
2025-08-27,2,2
2025-08-28,1,1
2025-09-01,1,1
2025-09-03,1,1
2025-09-06,1,1
2025-09-10,1,1
2025-09-17,1,1
2025-09-18,2,2
2025-09-19,2,2
2025-09-22,1,1
2025-09-30,1,1
2025-10-01,1,1
2025-10-07,1,1
2025-10-13,2,1
2025-10-17,1,1
2025-10-21,1,1
2025-10-25,1,1
2025-10-29,1,1
2025-10-31,1,1
2025-11-03,1,1
2025-11-05,2,1
2025-11-08,6,3
2025-11-13,1,1
2025-11-14,1,1
2025-11-19,1,1
2025-11-27,1,1
2025-11-29,1,1
2025-12-03,1,1
2025-12-08,1,1
2025-12-10,1,1
2025-12-15,1,1
2025-12-19,2,2
2025-12-22,0,0
2025-12-23,1,1
2025-12-24,0,0
2025-12-26,0,0
2025-12-28,0,0
2025-12-29,1,1
2025-12-31,1,1
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,0,0
2026-01-05,0,0
2026-01-07,0,0
2026-01-08,1,1
2026-01-09,1,1
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
2026-01-14,0,0
2026-01-15,1,1
2026-01-16,0,0
2026-01-17,0,0
2026-01-18,1,1
2026-01-21,0,0
2026-01-22,2,2
2026-01-23,0,0
2026-01-24,0,0
2026-01-25,1,1
2026-01-29,1,1
2026-01-30,0,0
2026-01-31,0,0
2026-02-01,0,0
2026-02-02,0,0
2026-02-03,0,0
2026-02-04,0,0
2026-02-05,1,1
2026-02-06,0,0
