date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2024-07-26,piebro.github.io,84,17,l.facebook.com,16,6,github.com,6,3,t.co,5,4,Google,1,1,facebook.com,1,1,,,,,,,,,,,,
2024-07-27,piebro.github.io,83,16,l.facebook.com,16,6,github.com,6,3,t.co,5,4,Google,1,1,facebook.com,1,1,,,,,,,,,,,,
2024-07-28,piebro.github.io,83,16,l.facebook.com,16,6,github.com,6,3,t.co,5,4,Google,1,1,facebook.com,1,1,,,,,,,,,,,,
2024-07-29,piebro.github.io,80,15,l.facebook.com,15,5,weeklyosm.eu,8,7,github.com,6,3,t.co,5,4,facebook.com,1,1,Google,1,1,,,,,,,,,
2024-07-30,piebro.github.io,80,15,l.facebook.com,14,5,weeklyosm.eu,12,11,github.com,6,3,t.co,5,4,facebook.com,1,1,Google,1,1,,,,,,,,,
2024-07-31,piebro.github.io,79,14,weeklyosm.eu,12,11,l.facebook.com,11,5,t.co,5,4,github.com,4,2,Google,1,1,,,,,,,,,,,,
2024-08-01,piebro.github.io,20,9,weeklyosm.eu,14,13,t.co,2,2,l.facebook.com,2,2,Google,1,1,,,,,,,,,,,,,,,
2024-08-02,weeklyosm.eu,15,14,piebro.github.io,15,5,t.co,1,1,Google,1,1,l.facebook.com,1,1,,,,,,,,,,,,,,,
2024-08-03,piebro.github.io,16,6,weeklyosm.eu,15,14,l.facebook.com,1,1,,,,,,,,,,,,,,,,,,,,,
2024-08-04,piebro.github.io,16,6,weeklyosm.eu,15,14,l.facebook.com,1,1,,,,,,,,,,,,,,,,,,,,,
2024-08-05,weeklyosm.eu,15,14,piebro.github.io,11,3,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-06,piebro.github.io,18,5,weeklyosm.eu,15,14,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-07,piebro.github.io,17,4,weeklyosm.eu,15,14,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-08,piebro.github.io,17,4,weeklyosm.eu,15,14,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-09,piebro.github.io,17,4,weeklyosm.eu,15,14,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-10,piebro.github.io,17,4,weeklyosm.eu,15,14,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-11,piebro.github.io,17,4,weeklyosm.eu,7,7,github.com,5,1,,,,,,,,,,,,,,,,,,,,,
2024-08-12,piebro.github.io,17,4,github.com,5,1,weeklyosm.eu,3,3,,,,,,,,,,,,,,,,,,,,,
2024-08-13,piebro.github.io,17,4,github.com,5,1,weeklyosm.eu,3,3,,,,,,,,,,,,,,,,,,,,,
2024-08-14,piebro.github.io,17,4,github.com,5,1,weeklyosm.eu,1,1,,,,,,,,,,,,,,,,,,,,,
2024-08-15,piebro.github.io,17,4,github.com,5,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,piebro.github.io,16,3,github.com,5,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-17,piebro.github.io,16,3,github.com,5,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-18,piebro.github.io,16,3,github.com,5,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-19,github.com,5,1,weeklyosm.eu,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-20,github.com,5,1,weeklyosm.eu,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-21,github.com,5,1,weeklyosm.eu,3,3,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,
2024-08-22,github.com,5,1,weeklyosm.eu,3,3,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,
2024-08-23,piebro.github.io,12,4,github.com,5,1,weeklyosm.eu,3,3,,,,,,,,,,,,,,,,,,,,,
2024-08-24,piebro.github.io,12,4,weeklyosm.eu,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-25,piebro.github.io,12,4,weeklyosm.eu,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-26,piebro.github.io,12,4,weeklyosm.eu,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-27,piebro.github.io,12,4,weeklyosm.eu,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-28,piebro.github.io,14,6,weeklyosm.eu,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-29,piebro.github.io,14,6,weeklyosm.eu,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,piebro.github.io,14,6,weeklyosm.eu,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31,piebro.github.io,17,7,weeklyosm.eu,3,3,yandex.ru,2,1,,,,,,,,,,,,,,,,,,,,,
2024-09-01,piebro.github.io,18,8,weeklyosm.eu,2,2,yandex.ru,2,1,,,,,,,,,,,,,,,,,,,,,
