date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-01-12,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-14,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-15,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-20,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-22,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-24,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-25,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-26,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-27,Google,10,1,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28,Google,10,1,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-29,Google,10,1,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-30,Google,10,1,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-31,Google,10,1,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-01,Google,10,1,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02,Google,10,1,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-03,Google,10,1,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-04,Google,10,1,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-05,Google,10,1,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,
