date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2025-04-22,Google,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23,Google,8,4,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24,Google,12,8,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-25,Google,17,11,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-26,Google,19,11,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-27,Google,20,12,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-28,Google,23,13,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-29,Google,24,14,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30,Google,26,14,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01,Google,33,15,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-02,Google,33,15,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-03,Google,33,15,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-04,Google,34,16,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05,Google,28,14,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06,Google,27,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07,Google,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08,Google,25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-09,Google,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-10,Google,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-11,Google,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12,Google,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-13,Google,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-14,Google,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-15,Google,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-16,Google,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-17,Google,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-18,Google,18,9,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-19,Google,18,9,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-20,Google,18,9,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-21,Google,11,6,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-22,Google,15,8,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-23,Google,17,10,github.com,4,2,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-24,Google,17,10,github.com,4,2,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-25,Google,18,11,github.com,4,2,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,,,,
2025-05-26,Google,19,12,github.com,5,3,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,,,,
2025-05-27,Google,19,12,github.com,5,3,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,,,,
2025-05-28,Google,14,12,github.com,5,3,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,,,,
2025-05-29,Google,14,12,github.com,5,3,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,,,,
2025-05-30,Google,14,12,github.com,5,3,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,,,,
2025-05-31,Google,15,13,github.com,4,2,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-01,Google,14,12,github.com,4,2,t.co,1,1,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,
2025-06-02,Google,17,13,github.com,4,2,t.co,1,1,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,
2025-06-03,Google,21,17,github.com,4,2,t.co,1,1,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,
2025-06-04,Google,22,16,github.com,4,2,t.co,1,1,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,
2025-06-05,Google,25,17,t.co,1,1,chatgpt.com,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,
2025-06-06,Google,25,17,t.co,1,1,chatgpt.com,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,
2025-06-07,Google,25,16,t.co,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-08,Google,27,18,t.co,1,1,creati.ai,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-09,Google,30,21,t.co,1,1,creati.ai,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-10,Google,31,21,creati.ai,2,2,t.co,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-11,Google,33,22,creati.ai,2,2,t.co,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-12,Google,42,26,creati.ai,2,2,t.co,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-13,Google,44,25,creati.ai,2,2,t.co,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,
2025-06-14,Google,55,30,creati.ai,2,2,github.com,2,2,pypi.org,1,1,,,,,,,,,,,,,,,,,,
2025-06-15,Google,53,30,creati.ai,2,2,github.com,2,2,pypi.org,1,1,,,,,,,,,,,,,,,,,,
2025-06-16,Google,49,26,creati.ai,2,2,github.com,2,2,pypi.org,1,1,,,,,,,,,,,,,,,,,,
2025-06-17,Google,48,26,creati.ai,2,2,github.com,2,2,pypi.org,1,1,,,,,,,,,,,,,,,,,,
2025-06-18,Google,46,26,github.com,3,2,creati.ai,2,2,pypi.org,1,1,,,,,,,,,,,,,,,,,,
2025-06-19,Google,52,28,github.com,3,2,creati.ai,2,2,pypi.org,1,1,,,,,,,,,,,,,,,,,,
2025-06-20,Google,55,31,github.com,3,2,creati.ai,2,2,pypi.org,1,1,,,,,,,,,,,,,,,,,,
2025-06-21,Google,70,35,github.com,3,2,creati.ai,2,2,pypi.org,1,1,,,,,,,,,,,,,,,,,,
2025-06-22,Google,74,37,github.com,3,2,creati.ai,2,2,pypi.org,1,1,,,,,,,,,,,,,,,,,,
2025-06-23,Google,72,36,github.com,3,2,pypi.org,1,1,creati.ai,1,1,,,,,,,,,,,,,,,,,,
2025-06-24,Google,73,37,github.com,3,2,pypi.org,1,1,creati.ai,1,1,,,,,,,,,,,,,,,,,,
2025-06-25,Google,73,35,github.com,3,2,pypi.org,1,1,creati.ai,1,1,,,,,,,,,,,,,,,,,,
2025-06-26,Google,75,35,github.com,2,2,pypi.org,1,1,creati.ai,1,1,,,,,,,,,,,,,,,,,,
2025-06-27,Google,66,33,creati.ai,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-28,Google,71,34,creati.ai,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,
