date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2024-12-07,piebro.github.io,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-08,piebro.github.io,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-09,piebro.github.io,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-10,piebro.github.io,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-11,piebro.github.io,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-12,piebro.github.io,15,8,github.com,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2024-12-13,piebro.github.io,17,10,github.com,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2024-12-14,piebro.github.io,17,10,github.com,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2024-12-15,piebro.github.io,17,10,github.com,2,2,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2024-12-16,piebro.github.io,17,10,github.com,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2024-12-17,piebro.github.io,21,10,github.com,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2024-12-18,piebro.github.io,21,10,github.com,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2024-12-19,piebro.github.io,22,11,github.com,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2024-12-20,piebro.github.io,16,10,github.com,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2024-12-21,piebro.github.io,19,13,github.com,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2024-12-22,piebro.github.io,21,14,github.com,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2024-12-23,piebro.github.io,22,14,github.com,4,4,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2024-12-24,piebro.github.io,20,13,github.com,4,4,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2024-12-25,piebro.github.io,16,11,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-26,piebro.github.io,14,9,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-27,piebro.github.io,14,9,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-28,piebro.github.io,14,9,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-29,piebro.github.io,14,9,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-30,piebro.github.io,10,8,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,piebro.github.io,17,9,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,piebro.github.io,18,9,github.com,1,1,Google,1,1,,,,,,,,,,,,,,,,,,,,,
2025-01-02,piebro.github.io,31,10,github.com,1,1,Google,1,1,,,,,,,,,,,,,,,,,,,,,
2025-01-03,piebro.github.io,28,7,github.com,6,3,Google,1,1,,,,,,,,,,,,,,,,,,,,,
2025-01-04,piebro.github.io,26,6,github.com,6,3,Google,1,1,,,,,,,,,,,,,,,,,,,,,
2025-01-05,piebro.github.io,22,3,github.com,5,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,
2025-01-06,piebro.github.io,22,3,github.com,5,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,
2025-01-07,piebro.github.io,22,3,github.com,5,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,
2025-01-08,piebro.github.io,22,3,github.com,5,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,
2025-01-09,piebro.github.io,24,4,github.com,5,2,Google,3,2,,,,,,,,,,,,,,,,,,,,,
2025-01-10,piebro.github.io,26,6,github.com,8,4,Google,3,2,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,
2025-01-11,piebro.github.io,27,7,github.com,8,4,Google,3,2,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,
