date,count,uniques
2024-07-28,1,1
2024-08-05,1,1
2024-08-06,1,1
2024-08-08,1,1
2024-08-12,1,1
2024-08-19,1,1
2024-08-21,1,1
2024-08-22,2,2
2024-08-23,1,1
2024-09-13,1,1
2024-09-26,1,1
2024-10-03,1,1
2024-10-05,1,1
2024-10-08,2,1
2024-10-10,1,1
2024-10-11,1,1
2024-10-12,1,1
2024-11-06,1,1
2024-11-08,1,1
2024-11-12,2,1
2024-11-19,1,1
2024-11-20,1,1
2024-12-03,1,1
2024-12-29,2,1
2025-01-03,2,1
2025-01-07,1,1
2025-01-11,1,1
2025-01-12,1,1
2025-01-17,10,2
2025-01-18,1,1
2025-01-19,1,1
2025-01-21,1,1
2025-01-27,1,1
2025-01-31,2,2
2025-02-04,1,1
2025-02-07,2,2
2025-02-11,1,1
2025-02-16,1,1
2025-02-17,1,1
2025-02-22,2,2
2025-02-25,1,1
2025-02-26,2,2
2025-03-01,4,1
2025-03-03,8,2
2025-03-05,2,2
2025-03-06,1,1
2025-03-09,5,2
2025-03-21,1,1
2025-03-22,2,1
2025-03-24,1,1
2025-04-05,1,1
2025-04-07,3,3
2025-04-29,1,1
2025-04-30,2,2
2025-05-04,1,1
2025-05-09,2,1
2025-05-10,2,2
2025-05-12,1,1
2025-05-16,1,1
2025-05-21,1,1
2025-05-23,1,1
2025-06-07,1,1
2025-06-10,1,1
2025-06-21,1,1
2025-07-02,1,1
2025-07-08,3,1
2025-07-09,1,1
2025-07-18,1,1
2025-07-21,1,1
2025-07-27,8,1
2025-10-06,1,1
2025-10-10,1,1
2025-10-20,1,1
2025-10-21,1,1
2025-10-25,1,1
2025-11-02,1,1
2025-11-03,2,1
2025-11-10,1,1
2025-11-18,1,1
2025-11-26,1,1
2025-12-08,1,1
2025-12-22,1,1
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,0,0
2026-01-05,0,0
2026-01-06,0,0
2026-01-07,0,0
2026-01-08,0,0
2026-01-09,0,0
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
