date,count,uniques
2024-12-06,13,2
2024-12-09,9,6
2024-12-10,5,2
2024-12-11,9,5
2024-12-12,5,3
2024-12-13,8,1
2024-12-14,1,1
2024-12-15,1,1
2024-12-16,4,1
2024-12-18,2,2
2024-12-19,6,1
2024-12-20,3,3
2024-12-21,2,1
2024-12-22,5,3
2024-12-30,12,1
2024-12-31,3,2
2025-01-01,13,1
2025-01-02,20,2
2025-01-08,4,1
2025-01-09,6,4
2025-01-10,3,2
2025-01-11,2,1
2025-01-13,1,1
2025-01-16,1,1
2025-01-17,1,1
2025-01-18,1,1
2025-01-21,2,1
2025-01-23,14,2
2025-01-25,1,1
2025-01-27,1,1
2025-01-30,20,2
2025-02-01,3,2
2025-02-04,1,1
2025-02-10,2,1
2025-02-13,5,2
2025-02-14,1,1
2025-02-16,1,1
2025-02-19,1,1
2025-02-22,2,1
2025-02-27,1,1
2025-02-28,1,1
2025-03-02,1,1
2025-03-05,6,2
2025-03-06,1,1
2025-03-08,1,1
2025-03-15,1,1
2025-03-16,1,1
2025-03-19,6,2
2025-03-22,3,2
2025-03-25,2,1
2025-03-26,1,1
2025-03-27,7,1
2025-04-01,1,1
2025-04-02,4,3
2025-04-09,1,1
2025-04-10,1,1
2025-04-13,5,1
2025-04-14,3,1
2025-04-20,1,1
2025-04-23,11,1
2025-04-24,9,3
2025-04-25,8,4
2025-04-27,18,4
2025-04-28,4,2
2025-04-29,16,3
2025-04-30,2,1
2025-05-01,13,2
2025-05-02,7,1
2025-05-05,4,1
2025-05-08,1,1
2025-05-09,1,1
2025-05-12,1,1
2025-05-14,11,2
2025-05-15,1,1
2025-05-17,1,1
2025-05-18,1,1
2025-05-21,2,1
2025-05-24,2,2
2025-05-25,1,1
2025-05-26,2,1
2025-06-02,1,1
2025-06-03,31,4
2025-06-04,1,1
2025-06-05,2,2
2025-06-06,3,2
2025-06-07,1,1
2025-06-09,1,1
2025-06-12,1,1
2025-06-13,1,1
2025-06-16,2,1
2025-06-17,2,1
2025-06-19,2,1
2025-06-20,1,1
2025-06-21,1,1
2025-06-22,1,1
2025-06-23,1,1
2025-06-26,1,1
2025-06-27,1,1
2025-06-30,4,2
2025-07-02,1,1
2025-07-04,1,1
2025-07-05,7,3
2025-07-06,2,1
2025-07-08,1,1
2025-07-09,1,1
2025-07-13,2,2
2025-07-14,6,2
2025-07-15,1,1
2025-07-17,1,1
2025-07-18,1,1
2025-07-21,1,1
2025-07-25,2,2
2025-07-28,1,1
2025-07-29,1,1
2025-08-01,1,1
2025-08-02,1,1
2025-08-04,3,2
2025-08-05,16,5
2025-08-08,2,2
2025-08-09,1,1
2025-08-12,5,3
2025-08-13,3,3
2025-08-14,2,2
2025-08-15,18,4
2025-08-17,1,1
2025-08-18,67,2
2025-08-19,5,1
2025-08-21,6,2
2025-08-22,1,1
2025-08-23,1,1
2025-08-26,62,3
2025-08-27,2,1
2025-08-29,12,2
2025-08-31,15,2
2025-09-01,2,2
2025-09-02,4,3
2025-09-03,3,2
2025-09-04,1,1
2025-09-05,4,2
2025-09-06,8,2
2025-09-07,10,10
2025-09-08,10,3
2025-09-10,1,1
2025-09-11,3,2
2025-09-12,3,1
2025-09-15,1,1
2025-09-16,1,1
